	SRR33467998	SRR33467999	SRR33468000	SRR33468001	SRR33468002	SRR33468003	SRR33468004	SRR33468005	SRR33468006
ENSG00000087191	145.497762	147.116054124016	149.196524	147.18608	150.59857	142.789463	160.35023	148.407386	156.753923
ENSG00000087206	25.37665	16.166438	15.99651	18.599228	15.69814	19.392086	20.278972	17.97294	18.594934
ENSG00000087237	3.14656	2.14474	2.028564	1.67909	1.318754	1.51363	1.889866	2.197705	2.691318
ENSG00000087245	77.3626	84.4803	77.8065	80.9704	88.2467	80.8305	77.4452	73.61352	79.25504
ENSG00000087250	0	0	0	0	0	1.82706	2.07006	0	0
ENSG00000087253	10.907903	13.576412	15.55989	10.394772	9.25229	9.18152	9.3799	8.7856	11.153
ENSG00000087258	0.0664663	0.432341	0	0	0	0	0	0	0
ENSG00000087263	84.4531	60.68247	59.014945	68.29413	67.55782	59.1185	76.69017	75.26139	66.75409
ENSG00000087266	42.1809091826	39.380707	46.93616292	43.431352	36.334333	42.6439431	40.7401716546691	38.1556265204	43.1443597102
ENSG00000087269	32.7495146	37.18769399352	29.5871	31.32457	35.02983	31.540983	37.172168	29.00896	29.27371
ENSG00000087274	159.441666	160.583567	142.562981	148.916332	138.7249819	150.9241535	156.8431006	139.344625	147.04113
ENSG00000087299	4.77871	4.789582	4.93684	6.00056	4.94436	8.40289	4.616181	3.573052	4.5947
ENSG00000087301	2.45209	2.28808	2.87853	2.22052	2.970616	3.00291	1.91643	4.24757	1.80666
ENSG00000087302	127.479162	105.599325	126.026	130.812168	121.181604	138.03803	122.49058	115.391959	119.88533
ENSG00000087303	17.0162	19.887869	19.554966	17.64117	15.797163	18.42213	19.04513	20.05861	16.078197
ENSG00000087338	8.96093	10.264346	10.631641	8.42962	9.55222	11.88067	7.62019	9.870517	8.92063
ENSG00000087365	163.971638	145.033597	152.001846	154.979946	138.748233	154.572865	147.6265067	158.687294	162.252123
ENSG00000087448	21.43076	23.39546	24.48316	18.741143	18.61517	20.12312	25.332829	19.928687	18.90997
ENSG00000087460	1132.29602889027	1130.58443862038	1132.8511978	1163.686943438	1141.97413489544	1113.65540284661	1120.6986671485	1132.48767917	1101.38252862
ENSG00000087470	50.30270157	54.444219	60.7649647144778	42.929917	46.79996963	41.4358140033943	47.19361	46.8192712791445	47.7398131
